Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2025-07-03,54.36%,-1.06%,0.00%,0%,0.18408405185265,198578,0.51742300322023,1568677,23.59,167706,30872,1033777,534900
2025-07-02,55.41%,-0.40%,0.39%,0%,0.18134715025907,140676,0.52781091567179,1543225,23.95,119081,21595,1010089,533136
2025-07-01,55.81%,-0.52%,0.79%,0%,0.32701203477994,138272,0.53231777168787,1514169,23.68,104198,34074,988156,526013
2025-06-30,56.33%,-0.17%,1.33%,0%,0.1749598904554,199930,0.55385493881515,1455830,24.39,170159,29771,936915,518915
2025-06-27,56.51%,-0.16%,1.51%,0%,0.24011727517485,238136,0.51971975063211,1574764,23.59,192027,46109,1036220,538544
2025-06-26,56.67%,-0.60%,1.67%,0%,0.30465788186376,170691,0.52856091429654,1549331,23.88,130832,39859,1013588,535743
2025-06-25,57.27%,+2.23%,2.29%,1%,0.28206062446232,126674,0.53265067942595,1527291,23.55,98805,27869,996503,530788
2025-06-24,55.04%,-5.07%,0.00%,0%,0.2119368773693,164964,0.55747356007,1473831,23.29,136116,28848,946296,527535
2025-06-23,60.11%,-4.69%,3.41%,2%,0.21522838679478,186924,0.58427531636079,1426350,22.82,153818,33106,900317,526033
2025-06-20,64.79%,+1.28%,8.30%,9%,0.30321491073661,255421,0.45335472357914,2015694,23.46,195993,59428,1386925,628769
2025-06-18,63.52%,-2.65%,6.97%,8%,0.27833875037061,228512,0.45593333035866,1990405,23.44,178757,49755,1367099,623306
2025-06-17,66.17%,-2.69%,9.74%,11%,0.51172002263413,264486,0.43738068221741,1922948,22.99,174957,89529,1337814,585134
2025-06-16,68.86%,-8.02%,12.38%,15%,0.27850721916079,332238,0.4430677009152,1834888,23.32,259864,72374,1271519,563369
2025-06-13,76.88%,-17.90%,13.91%,36%,0.39550820302154,537413,0.42925740339221,2051396,22.14,385102,152311,1435288,616108
2025-06-12,94.78%,+32.98%,19.82%,66%,0.60195195345359,1441627,0.39002862218438,1495308,22.14,899919,541708,1075739,419569
2025-06-11,61.80%,-23.11%,2.59%,4%,0.24177545380914,417018,0.38906101878408,1496059,28.55,335824,81194,1077029,419030
2025-06-10,84.91%,+0.91%,11.69%,55%,0.37430983809864,242688,0.3838579423363,1406520,30.15,176589,66099,1016376,390144
2025-06-09,84.00%,+7.10%,11.31%,54%,0.21709055521948,185100,0.39425919516985,1337524,30.34,152084,33016,959308,378216
2025-06-06,76.90%,+1.07%,8.35%,36%,0.23552545767156,187554,0.38324863312194,1471161,29.58,151801,35753,1063555,407606
2025-06-05,75.83%,-4.93%,6.79%,34%,0.2273423180593,170754,0.38336834549587,1445447,29.45,139125,31629,1044875,400572
2025-06-04,80.76%,-1.37%,8.55%,43%,0.24102343179307,198771,0.38256476353061,1418087,29.95,160167,38604,1025693,392394
2025-06-03,82.13%,-2.99%,9.04%,48%,0.209964386073,161039,0.3804595921705,1391056,30.1,133094,27945,1007676,383380
